,0
18,-0.02183273639277583
19,-0.02569072527957139
20,-0.04261877826515448
21,-0.04261877826515448
22,-0.04261877826515448
23,-0.012175685914934564
24,0.006289868867828008
25,0.03341051163419673
26,-0.0012597198994841463
27,-0.06126736625511098
28,-0.05662333099481198
29,-0.05662333099481198
30,-0.0928679308137581
31,-0.0928679308137581
32,-0.0928679308137581
33,-0.07565449858346918
34,-0.0772082389657539
35,-0.07376883986986726
36,-0.02646982868336989
37,-0.012819630623966738
38,-0.021636376194954954
39,-0.029784106855940684
40,-0.015424655186410341
41,-0.05323188977177151
42,-0.06852013479884222
43,-0.09916068129144451
44,-0.11941083952263976
45,-0.12285023861852673
46,-0.13914452744027006
47,-0.12590342035800606
48,-0.14277428369276968
49,-0.13462655303178406
50,-0.05401260478436665
51,-0.05877896196243704
52,-0.12170757161368118
53,-0.13111760067779654
54,-0.15844509894601977
55,-0.1347638552755379
56,-0.18662363542306537
57,-0.2021036599206083
58,-0.17688737596446613
59,-0.1977492212834776
60,-0.20903207252197442
61,-0.1559610132595345
62,-0.10738153219370483
63,-0.07326504496083319
64,-0.03354854652426342
65,-0.06580229620709721
66,-0.011693866754207805
67,0.02973752929635265
68,0.018611785594385144
69,-9.904327581355954e-05
70,-0.04511888163443922
71,-0.054003548864082984
72,-0.032626690045738704
73,-0.007839230505822248
74,0.028076954056275305
75,0.012791805138908319
76,0.04179066593398373
77,-0.006152038506497148
78,-0.04045745937002343
0,-0.15713612616466777
1,-0.15463050475009354
2,-0.07019258904078785
3,-0.06566847693706468
4,-0.06799116180756548
5,-0.06799116180756548
6,-0.05095436357848371
7,-0.03856518451732727
8,0.024272279616242343
9,-0.007905440866317281
10,-0.058211188956776905
11,0.08010595636674567
12,0.0944398282691491
13,0.09003721348268778
14,0.09003721348268778
15,0.09003721348268778
16,0.08570101336528402
17,0.09809019242644046
18,0.02004150652860215
19,0.05221922701116166
20,0.09308673062786821
21,0.08695422574617162
22,0.04381433814378777
23,-0.005525213444677934
24,-0.005525213444677934
25,-0.030981642920217656
26,-0.05690245620422296
27,-0.07001092379906182
28,-0.11065618150487855
29,-0.07070605323454471
30,-0.07063460607452843
31,-0.13491348456188013
32,-0.07798597047163303
33,-0.0190681254287558
34,-0.0190681254287558
35,-0.0365853066650379
36,-0.01701479243687165
37,-0.016295503903189235
38,0.0016857260632936466
39,-0.07571473709227905
40,-0.11975630583460328
41,-0.11612942236748092
42,-0.14171231831294706
43,-0.11401634476859768
44,-0.12962139985527532
45,-0.06119135966791389
46,-0.12668450740451187
47,-0.12596521887082945
48,-0.0505871618950694
49,-0.03165668743948702
50,0.0686459770340383
51,0.06501909356691582
52,-0.002230364886658842
53,-0.07441182443784922
54,-0.05880676935117157
55,-0.10121192329832962
56,-0.03571877556173175
57,-0.03643806409541417
58,-0.06520512863047012
59,-0.024991304171058326
60,-0.020646314800835674
61,-0.020646314800835563
62,0.030070359402393554
63,0.06648994964628374
64,0.02912526775608093
65,0.02988721610302425
66,0.11495087806778836
67,0.11495087806778836
68,0.10132913550826184
69,0.11994081820482472
70,0.040589903523988724
71,0.040589903523988724
72,0.09130657772721762
73,0.10336950299036629
74,0.11229594002510657
75,0.18237206095824
76,0.026703356838684966
77,0.011129373488580008
78,0.006768266089175801
0,-0.050446037175767455
1,-0.09096590741056332
2,-0.1527391148326671
3,-0.1527391148326671
4,-0.1704034175907604
5,-0.16582395394025162
6,-0.16582395394025162
7,-0.13315943649519868
8,-0.10783243766779971
9,-0.10616506416144356
10,-0.10616506416144356
11,-0.10649273282341087
12,-0.04471952540130697
13,-0.04471952540130697
14,-0.11292043650055328
15,-0.11749990015106204
16,-0.11749990015106204
17,-0.14318487149871628
18,-0.10171491611818828
19,-0.10004754261183202
20,-0.10004754261183202
21,-0.03710583868635442
22,0.023687831784329094
23,-0.005211051816418233
24,0.060871454012729864
25,0.060871454012729864
26,0.0267210168546812
27,0.05240598820233555
28,0.01093603282180744
29,0.00756973567045105
30,0.00756973567045105
31,-0.003332442934926405
32,-0.08744730545185897
33,-0.05854842185111164
34,0.022463833777306652
35,0.02166695708041988
36,0.055817394238468654
37,0.07565854446840525
38,0.06001877624683405
39,0.05934350816852396
40,0.043791475275495984
41,-0.005592140614107621
42,-0.01155000250869087
43,0.017348881092056456
44,-0.07865000443744385
45,-0.07785312774055697
46,-0.04370269058250831
47,-0.0708629155903101
48,-0.07790040501450834
49,-0.07382728964619778
50,-0.08407878145276237
51,-0.0461195718769426
52,-0.004515093039953011
53,-0.03341397664070034
54,0.025991027545686052
55,0.024742683229927454
56,-0.028376748974139554
57,0.0071843234740703865
58,0.03247038968436422
59,0.007785615541565205
60,0.0254454777309171
61,0.04544382188154905
62,0.0668067951514103
63,0.06502408856439146
64,0.11260477102283695
65,0.11385311533859555
66,0.08693300757296318
67,0.034335080286662545
68,0.05440352936790782
69,0.04916087915963785
70,0.0831080663694711
71,-0.015924068328876828
72,-0.06639874719764727
73,-0.12227542630812516
